Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Turkey,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.1,9.2,9.5,9.2,9.1,9.0,8.2,8.0,8.0,8.0,7.9,7.8,7.7,7.5,7.1
United Kingdom,7.5,7.5,7.5,7.5,7.6,7.8,8.0,8.0,8.4,8.1,8.5,8.2,8.6,8.1,7.8,7.7,7.2,7.2,7.4,7.4,7.4,7.1,6.9,6.9,7.0,7.0,7.0,7.0,6.9,6.9,6.6,6.1,6.2,5.9,5.7,5.6,5.5,5.3,5.2,5.1,5.2,4.8,4.9,5.2,..,..,..,4.5,4.4,4.3,4.5,4.5,..,4.3,4.5,4.4,4.4,..
United States,..,..,..,..,..,..,..,..,..,..,10.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.1,..,..,..,..,..,9.2,9.0,9.1,8.9,8.9,8.8,8.9,8.3,8.6,8.2,8.2,8.0,7.7,7.8,7.6,7.5,7.3,7.1,6.8,6.8,6.8,6.8,6.8,6.9,6.9,7.0,6.9
Colombia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Costa Rica,7.2,6.7,5.8,5.8,5.5,5.7,5.6,5.5,5.8,5.8,6.3,6.3,7.0,6.8,7.3,7.3,7.2,7.3,7.6,7.6,7.6,7.0,7.6,7.7,7.9,8.0,7.7,7.8,8.0,7.8,7.5,7.2,6.6,6.3,6.5,7.1,6.7,6.7,6.7,6.8,6.3,6.0,5.9,6.0,6.1,6.1,6.2,6.0,5.7,5.4,5.3,5.4,5.6,5.5,5.4,5.5,5.5,5.2
Brazil,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
China,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.3,9.3,9.6,..,..,..,..,..
India,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Indonesia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Russian Federation,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.5,9.2,8.5,8.5,..,..,..,..
South Africa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.0,3.1,3.2,2.9,2.8,2.8,2.7,..
Saudi Arabia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bulgaria,8.8,8.4,8.1,8.2,8.1,8.0,8.2,8.7,8.9,8.7,8.6,8.2,8.2,8.6,8.5,8.6,8.4,8.5,8.1,7.9,7.9,7.5,7.5,7.5,7.3,7.4,7.3,7.2,7.0,7.1,6.9,5.7,5.2,4.7,4.5,4.4,4.3,4.2,4.3,4.1,4.3,4.0,3.7,3.9,4.0,4.4,4.3,3.9,3.7,3.5,3.3,2.9,2.9,3.0,3.4,3.9,3.8,4.0
Croatia,8.9,8.8,8.6,8.0,8.5,9.0,8.6,8.3,8.1,8.1,8.5,8.5,8.5,8.3,8.0,8.0,7.7,7.8,7.8,7.4,7.2,7.3,7.2,7.1,6.9,6.6,6.5,6.6,6.2,6.1,5.8,4.6,4.8,5.0,5.2,5.3,5.4,5.4,5.3,5.3,4.9,5.1,5.3,5.2,5.3,5.1,5.1,5.4,5.4,5.2,5.0,4.7,4.8,4.5,4.6,4.7,4.9,4.9
Cyprus,..,..,..,..,4.4,7.6,7.3,8.7,6.1,8.6,8.6,9.6,6.6,8.8,5.4,11.2,7.1,10.1,10.0,12.6,7.7,11.5,10.8,11.7,7.7,10.5,9.4,10.8,7.0,9.9,9.7,10.5,8.0,9.7,9.7,10.2,8.7,10.7,11.4,13.2,13.4,15.1,14.5,7.7,7.3,8.0,7.0,8.3,7.8,7.8,7.3,7.3,6.7,6.4,6.3,7.2,7.5,6.8
Malta,6.0,6.0,5.8,6.3,6.4,6.2,6.2,6.5,7.0,7.2,7.9,8.9,9.7,11.0,11.6,9.2,9.6,9.9,9.2,8.6,8.8,9.0,8.6,8.4,8.0,7.6,7.7,7.1,7.3,7.1,7.1,7.1,6.6,6.8,6.7,6.1,6.2,6.4,6.5,6.4,6.7,5.6,5.7,5.9,6.0,5.9,6.3,6.1,6.1,5.7,6.3,6.2,6.7,6.1,6.6,6.7,6.7,6.3
Romania,10.7,9.7,9.9,9.3,9.0,8.6,8.9,7.9,7.4,7.0,7.2,7.3,7.6,8.2,8.3,8.8,9.1,9.2,9.2,9.0,8.2,8.2,7.7,7.3,7.2,7.1,7.3,7.3,7.5,7.7,8.3,8.0,7.7,7.1,6.8,6.8,6.6,6.5,6.5,6.2,6.1,5.9,5.9,6.2,6.7,6.7,6.9,9.1,7.3,6.6,5.7,5.2,5.4,5.4,5.9,6.3,6.8,7.3
